,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
0,Praveen Kumar,4.0,0,38,0,9.5,13,3,3,1,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1,Zaheer Khan,4.0,0,38,1,9.5,8,3,2,0,0,25,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
2,Ashley Noffke,4.0,0,40,1,10.0,7,2,2,1,0,25,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
3,Jacques Kallis,4.0,0,48,1,12.0,9,5,3,1,0,19,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
4,Sunil Joshi,3.0,0,26,0,8.67,4,0,2,0,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
5,Cameron White,1.0,0,24,0,24.0,0,2,2,1,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
6,Ashok Dinda,3.0,0,9,2,3.0,11,0,0,2,0,56,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
7,Ishant Sharma,3.0,0,7,1,2.33,13,0,0,1,0,31,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
8,Ajit Agarkar,4.0,0,25,3,6.25,15,2,1,4,0,79,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
9,Sourav Ganguly,4.0,0,21,2,5.25,13,1,1,1,0,50,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
10,Laxmi Shukla,1.1,0,12,1,10.29,3,0,1,2,0,25,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
11,Brett Lee,4.0,0,35,1,8.75,12,5,1,0,1,25,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
12,Sreesanth,3.0,0,35,0,11.67,5,5,1,1,0,0,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
13,James Hopes,4.0,0,53,1,13.25,8,2,6,0,0,19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
14,Irfan Pathan,4.0,0,47,2,11.75,6,4,3,0,0,50,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
15,Karan Goel,2.0,0,25,0,12.5,2,1,2,0,0,-6,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
16,Piyush Chawla,1.0,0,19,0,19.0,1,1,2,0,0,0,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
17,Wilkin Mota,2.0,0,24,1,12.0,2,2,1,2,0,19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
18,Jacob Oram,4.0,0,37,0,9.25,6,6,0,0,0,0,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
19,Manpreet Gony,4.0,0,42,1,10.5,7,2,3,2,0,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
20,Muttiah Muralitharan,4.0,0,33,1,8.25,7,1,2,1,0,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
21,Palani  Amarnath,4.0,0,42,1,10.5,4,5,1,0,0,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
22,Joginder Sharma,4.0,0,47,1,11.75,5,4,3,1,0,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
23,Glenn McGrath,4.0,1,21,1,5.25,16,2,1,1,0,37,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
24,Brett Geeves,4.0,0,41,0,10.25,8,7,0,0,0,0,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
25,Farveez Maharoof,4.0,0,11,2,2.75,13,0,0,0,0,56,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
26,Rajat Bhatia,4.0,0,17,2,4.25,13,1,0,1,0,56,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
27,Daniel Vettori,4.0,0,35,1,8.75,8,3,2,0,0,25,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
28,Munaf Patel,3.0,0,25,0,8.33,10,4,1,0,0,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
29,Shane Watson,4.0,0,31,1,7.75,9,5,0,1,0,25,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
30,Siddharth Trivedi,3.0,0,32,0,10.67,6,5,0,3,0,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
31,Shane Warne,2.0,0,16,0,8.0,2,2,0,0,0,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
32,Yusuf Pathan,2.1,0,17,0,7.85,4,2,0,1,0,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
33,Dinesh Salunkhe,1.0,0,11,0,11.0,0,0,0,1,0,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
34,Praveen Kumar,4.0,0,29,1,7.25,11,3,1,1,0,25,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
35,Zaheer Khan,4.0,0,17,2,4.25,14,2,0,0,0,56,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
36,Jacques Kallis,3.0,0,43,0,14.33,3,7,1,2,0,-6,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
37,Vinay Kumar,4.0,0,41,0,10.25,9,3,3,0,0,0,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
38,Balachandra Akhil,3.0,0,17,2,5.67,8,2,0,0,0,50,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
39,Sunil Joshi,2.0,0,10,0,5.0,5,1,0,0,0,0,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
40,Ashish Nehra,4.0,0,45,1,11.25,7,5,2,2,0,25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
41,Shaun Pollock,4.0,0,17,0,4.25,10,1,0,0,0,6,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
42,Dhawal Kulkarni,2.4,0,19,1,7.13,8,3,0,2,0,25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
43,Sanath Jayasuriya,4.0,0,39,1,9.75,3,2,2,0,0,25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
44,Harbhajan Singh,4.0,0,36,2,9.0,6,2,2,1,0,50,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
45,Abhishek Nayar,1.0,0,10,0,10.0,2,2,0,0,0,0,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
46,Ashok Dinda,3.0,0,18,1,6.0,9,1,0,0,1,25,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
47,Ishant Sharma,3.0,1,9,1,3.0,13,0,0,3,0,43,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
48,Ajit Agarkar,2.0,0,19,2,9.5,6,1,2,0,0,50,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
49,Murali Kartik,3.4,0,17,3,4.64,14,3,0,0,0,85,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
50,Mohammad Hafeez,4.0,0,8,1,2.0,17,0,0,0,1,31,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
51,David Hussey,3.0,0,35,1,11.67,7,1,4,1,0,25,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
52,Chaminda Vaas,3.0,0,9,2,3.0,12,1,0,0,0,56,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
53,RP Singh,3.0,0,15,1,5.0,10,2,0,0,0,25,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
54,Scott Styris,4.0,0,19,0,4.75,15,1,1,1,0,6,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
55,Sanjay Bangar,3.0,0,19,0,6.33,13,1,1,2,0,0,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
56,Andrew Symonds,2.0,0,20,0,10.0,4,0,1,2,1,0,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
57,Pragyan Ojha,4.0,0,18,2,4.5,13,0,1,2,0,56,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
58,Munaf Patel,4.0,0,36,1,9.0,12,4,2,0,0,25,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
59,Shane Watson,4.0,0,39,0,9.75,12,8,0,0,1,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
60,Siddharth Trivedi,4.0,0,25,2,6.25,12,2,1,0,0,50,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
61,Shane Warne,4.0,0,19,3,4.75,11,0,1,0,0,85,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
62,Dinesh Salunkhe,2.0,0,21,1,10.5,5,2,1,2,0,25,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
63,Pankaj Singh,1.0,0,12,0,12.0,0,2,0,0,0,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
64,Yusuf Pathan,1.0,0,13,0,13.0,3,0,2,0,0,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
65,Brett Lee,4.0,0,35,1,8.75,13,5,1,0,2,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
66,Sreesanth,3.1,0,38,1,12.0,9,5,1,3,2,19,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
67,James Hopes,4.0,0,33,1,8.25,11,2,2,1,0,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
68,Irfan Pathan,4.0,0,21,1,5.25,11,2,0,2,0,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
69,Piyush Chawla,2.0,0,27,0,13.5,4,3,2,0,0,-6,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
70,Wilkin Mota,1.0,0,12,0,12.0,1,0,1,0,0,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
71,Glenn McGrath,4.0,1,22,0,5.5,16,4,0,0,0,12,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
72,Mohammad Asif,4.0,0,19,2,4.75,17,0,2,0,0,56,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
73,Farveez Maharoof,4.0,0,36,2,9.0,10,3,2,1,0,50,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
74,Yo Mahesh,4.0,0,35,1,8.75,7,3,1,0,1,25,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
75,Rajat Bhatia,4.0,0,27,2,6.75,9,2,1,0,0,50,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
76,Chaminda Vaas,3.0,0,22,0,7.33,7,3,0,1,0,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
77,RP Singh,3.0,0,27,1,9.0,7,5,0,1,0,25,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
78,Sanjay Bangar,2.0,0,30,0,15.0,3,3,2,1,0,-6,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
79,Shahid Afridi,2.0,0,17,0,8.5,3,0,1,0,0,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
80,Andrew Symonds,2.0,0,35,0,17.5,4,4,3,0,0,-6,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
81,Pragyan Ojha,1.0,0,7,0,7.0,3,0,0,2,0,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
82,Shaun Pollock,3.0,0,32,0,10.67,8,5,1,1,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
83,Ashish Nehra,4.0,0,35,1,8.75,12,6,0,2,1,25,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
84,Dhawal Kulkarni,3.0,0,25,1,8.33,7,4,0,0,1,25,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
85,Harbhajan Singh,2.0,0,14,0,7.0,3,0,1,0,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
86,Dwayne Bravo,3.0,0,36,0,12.0,4,5,1,1,0,-6,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
87,Vikrant Yeligati,1.0,0,16,0,16.0,1,2,0,1,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
88,Abhishek Nayar,1.0,0,14,0,14.0,2,0,2,0,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
89,Musavir Khote,3.0,0,29,2,9.67,4,2,1,0,0,50,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
90,Jacob Oram,4.0,0,53,0,13.25,7,6,3,2,0,-6,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
91,Manpreet Gony,4.0,1,18,1,4.5,14,2,0,0,1,43,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
92,Joginder Sharma,4.0,0,29,2,7.25,8,3,0,0,1,50,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
93,Palani  Amarnath,4.0,0,57,1,14.25,6,6,3,0,0,19,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
94,Muttiah Muralitharan,4.0,0,40,2,10.0,5,2,2,4,0,50,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
95,Munaf Patel,4.0,0,55,0,13.75,7,11,0,2,0,-6,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
96,Shane Watson,4.0,0,32,1,8.0,13,6,0,2,0,25,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
97,Yusuf Pathan,2.0,0,20,2,10.0,6,1,2,0,0,50,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
98,Pankaj Singh,2.0,0,14,0,7.0,4,0,1,0,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
99,Siddharth Trivedi,3.0,0,37,0,12.33,2,3,2,0,1,-6,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
100,Shane Warne,4.0,0,47,2,11.75,3,3,3,1,0,50,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
101,Dinesh Salunkhe,1.0,0,9,0,9.0,2,0,1,0,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
102,Chaminda Vaas,4.0,0,42,1,10.5,8,5,2,0,0,25,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
103,RP Singh,4.0,0,44,1,11.0,10,4,3,1,1,25,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
104,Pragyan Ojha,2.0,0,23,0,11.5,3,3,1,0,0,0,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
105,Doddapaneni Kalyankrishna,3.0,0,30,1,10.0,4,2,2,0,0,25,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
106,Shahid Afridi,4.0,0,28,3,7.0,9,2,1,1,0,79,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
107,Andrew Symonds,2.5,0,46,0,16.24,3,2,5,0,0,-6,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
108,Shaun Pollock,4.0,0,40,1,10.0,8,5,1,1,0,25,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
109,Ashish Nehra,3.0,0,22,2,7.33,7,2,0,0,0,50,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
110,Dhawal Kulkarni,4.0,0,37,2,9.25,10,3,2,1,1,50,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
111,Harbhajan Singh,4.0,0,32,3,8.0,9,4,0,1,0,79,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
112,Dwayne Bravo,3.0,0,27,0,9.0,6,2,1,0,0,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
113,Musavir Khote,2.0,0,22,0,11.0,2,2,1,0,0,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
114,Brett Lee,4.0,0,9,1,2.25,18,1,0,0,0,31,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
115,Irfan Pathan,4.0,1,19,2,4.75,15,1,1,2,0,68,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
116,Vikram Singh,4.0,0,40,1,10.0,10,5,2,1,0,25,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
117,Sreesanth,4.0,0,31,2,7.75,12,3,1,0,2,50,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
118,Piyush Chawla,4.0,0,16,2,4.0,15,2,0,1,0,56,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
119,Shane Watson,4.0,0,20,2,5.0,15,3,0,0,1,50,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
120,Sohail Tanvir,4.0,0,31,0,7.75,14,3,2,1,0,0,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
121,Munaf Patel,3.0,0,20,2,6.67,9,2,1,0,0,50,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
122,Siddharth Trivedi,4.0,0,29,1,7.25,12,3,1,2,0,25,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
123,Shane Warne,4.0,1,23,1,5.75,15,1,2,0,0,37,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
124,Yusuf Pathan,1.0,0,10,0,10.0,1,0,1,0,0,0,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
125,Praveen Kumar,3.0,0,42,1,14.0,5,8,1,0,0,19,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
126,Zaheer Khan,4.0,0,24,1,6.0,15,5,0,0,0,25,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
127,Vinay Kumar,2.0,0,15,0,7.5,4,2,0,1,0,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
128,Anil Kumble,4.0,0,22,0,5.5,10,2,0,1,0,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
129,Jacques Kallis,1.0,0,7,0,7.0,2,1,0,0,0,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
130,Sunil Joshi,3.1,0,27,1,8.53,9,4,1,0,0,25,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
131,Jacob Oram,4.0,0,32,3,8.0,9,3,1,0,0,79,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
132,Manpreet Gony,4.0,0,40,2,10.0,9,4,2,0,1,50,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
133,Palani  Amarnath,4.0,0,29,2,7.25,11,5,0,0,0,50,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
134,Muttiah Muralitharan,4.0,0,12,0,3.0,15,0,0,3,0,6,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
135,Joginder Sharma,4.0,0,32,1,8.0,7,2,1,1,1,25,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
136,Ashok Dinda,3.0,0,25,0,8.33,11,4,0,2,0,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
137,Ishant Sharma,3.0,0,26,0,8.67,10,1,1,1,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
138,Ajit Agarkar,3.0,0,19,1,6.33,9,3,0,0,0,25,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
139,David Hussey,1.0,0,10,0,10.0,2,0,1,0,0,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
140,Mohammad Hafeez,2.0,0,16,0,8.0,2,0,1,1,0,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
141,Murali Kartik,3.0,0,33,0,11.0,2,2,2,0,0,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
142,Laxmi Shukla,2.0,0,18,0,9.0,3,2,0,0,0,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
143,RP Singh,4.0,1,15,2,3.75,18,2,0,2,0,68,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
144,Nuwan Zoysa,4.0,0,30,1,7.5,11,3,1,1,1,25,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
145,Sanjay Bangar,4.0,0,34,2,8.5,9,4,1,0,0,50,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
146,Shahid Afridi,4.0,0,32,2,8.0,11,1,2,0,1,50,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
147,Pragyan Ojha,2.0,0,14,0,7.0,4,2,0,0,0,0,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
